Permit Number,StatusDesc,City,Operating Name,Street Address,Website,Last Updated
R1117-2026,Active,Melfort,Saskabuds Cannabis - Melfort,A-103 Burrows Ave,www.saskabuds.ca,2025-10-28
R1398-2028,Active,Humboldt,SaskaBuds Cannabis - Humboldt,607 9th Street,www.saskabuds.ca,2025-10-28
R1246-2027,Active,North Battleford,RockShop Cannabis - North Battleford,A-1221  101 St,N/A,2025-10-28
R1302-2028,Active,Moose Jaw,Rise Cannabis Co. - Moose Jaw,260 High St W,www.riseonhigh.com,2025-10-28
R1232-2027,Active,Rosthern,Reds Cannabis Ltd - Rosthern,319 Railway Ave E,www.redscannabis.ca,2025-10-28
R1290-2027,Active,Shellbrook,Reds Cannabis - Shellbrook,321 Service Rd,www.redscannabis.ca,2025-10-28
R1158-2026,Active,Preeceville,Preeceville Cannabis - Preeceville,24B Main St ,www.preecevillecannabis.ca,2025-10-28
R1511-2027,Active,Warman,Prairie Records - Warman,100 2nd Ave N,www.prairierecords.ca,2025-10-28
R1509-2027,Active,Saskatoon,Prairie Records - Saskatoon,720 Broadway Ave.,www.prairierecords.ca,2025-10-28
R1510-2027,Active,Saskatoon,Prairie Records - Saskatoon,170 - 3020 Preston Ave. S,www.prairierecords.ca,2025-10-28
R1046-2027,Active,Prince Albert,Prairie Cannabis Ltd. - Prince Albert,180 17th St W,www.prairiecanna.ca,2025-10-28
R1189-2027,Active,Saskatoon,Prairie Cannabis - Saskatoon,1002 8th St E,www.prairiecanna.ca,2025-10-28
R1190-2027,Active,Saskatoon,Prairie Cannabis - Saskatoon,4-604 22nd St W,www.prairiecanna.ca,2025-10-28
R1341-2028,Active,Elbow,Prairie Cannabis - Elbow,356 Saskatchewan St,www.prairiecanna.ca,2025-10-28
R1518-2027,Active,Rocanville,Pothash Store - Rocanville,109 Ellice St,N/A,2025-10-28
R1239-2027,Active,Estevan,Peace of Mind Cannabis Inc. - Estevan,526 12th Ave,www.peaceofmindcannabis.ca,2025-10-28
R1578-2028,Active,Moose Jaw,One Plant - Moose Jaw,412 Lillooet St W,,2025-10-28
R1111-2025,Active,Outlook,One Eye's Weedery - Outlook,221 Franklin St,www.oneeyesweedery.com,2025-10-28
R1211-2027,Active,Davidson,One Eye's Weedery - Davidson,300 King Edward St,www.oneeyesweedery.com,2025-10-28
R1419-2025,Active,Norquay,Norquay Cannabis - Norquay,237 Main St,www.norquaycannabis.ca,2025-10-28
R1372-2028,Active,Nipawin,Nipawin Cannabis Store - Nipawin,119  1st Ave. W,www.redscannabis.ca,2025-10-28
R1560-2028,Active,Hudson Bay,Moose Head Cannabis - Hudson Bay,113 Main St.,,2025-10-28
R1432-2026,Active,Wadena,Moonlit Cannabis - Wadena,A-105 3rd St SW,www.moonlitcannabis.net,2025-10-28
R1230-2027,Active,Estevan,Moonlit Cannabis - Estevan,126 4th Street,www.moonlitcannabis.net,2025-10-28
R1145-2026,Active,Carlyle,Moonlit Cannabis - Carlyle,105 Turriff Ave W ,www.moonlitcannabis.net,2025-10-28
R1484-2026,Active,Saskatoon,Modern Day Cannabis - Saskatoon,Unit 4 250 Idylwyld Dr.,www.moderndaycannabis.ca/shop-saskatoon,2025-10-28
R1293-2028,Active,Glaslyn,Mary Jane's Lil Country Cannabis Store - Glaslyn,D-111 Railway Ave,www.maryjaneslccs.com,2025-10-28
R1394-2028,Active,St. Walburg,Mary Jane’s Lil Country Cannabis Store - St. Walburg,17 Main St,www.maryjaneslccs.com,2025-10-28
R1003-2027,Active,Esterhazy,Lush Leaf Cannabis Ltd.- Esterhazy,420 Main St,www.lushleafcanna.ca,2025-10-28
R1260-2027,Active,Saskatoon,Lucid Cannabis - Saskatoon,10-15 Worobetz Pl,www.lucidcannabis.ca,2025-10-28
R1332-2028,Active,Regina,Lucid Cannabis - Regina,235 Victoria Ave,www.lucidcannabis.ca,2025-10-28
R1090-2028,Active,Regina,Lucid - Regina,681 Albert St,www.lucidcannabis.ca,2025-10-28
R1476-2026,Active,Loon Lake,Loon Lake Cannabis - Loon Lake,409 Main St,,2025-10-28
R1289-2027,Active,Northside,Log Cabin Cannabis Co. - Northside,101 Veterans Rd,N/A,2025-10-28
R1031-2027,Active,Saskatoon,Living Skies Cannabis - Saskatoon,208 3rd Ave S,www.livingskiescannabis.ca,2025-10-28
R1174-2027,Active,Saskatoon,Living Skies Cannabis - Saskatoon,P-3322 Fairlight Dr.,www.livingskiescannabis.ca,2025-10-28
